Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location
Sat,08/17/2019,Eckhart Park,(312) 746-5490,Avengers: Infinity War,Y,PG-13,Friends of Eckhart Park,1330 W. Chicago Ave.,"(41.89628864, -87.6605556)"
Sat,06/29/2019,Grand Crossing Park,(312) 747-6158,Smallfoot,Y,PG,,7655 S. Ingleside Ave.,"(41.75521198, -87.60149568)"
Tue,07/23/2019,Mann Park,(773) 646-0210,Smallfoot,Y,PG,,3035 E. 130st St.,"(41.65905937, -87.54940208)"
Mon,08/12/2019,South Shore Cultural Center,(773) 256-0149,Moana,Y,PG,,7059 S. South Shore Drive,"(41.76660302, -87.56632372)"
Thu,08/01/2019,Scottsdale Playground Park,(773) 284-1826,The Incredibles 2,Y,PG,,4637 W. 83rd St.,"(41.74191533, -87.73635951)"
Thu,06/20/2019,Edgebrook Park,(773) 631-7461,Aquaman,Y,PG-13,,6525 N. Hiawatha Ave.,"(41.99946016, -87.7618211)"
Fri,06/14/2019,Eugene Field Park,(773) 478-9744,Great Outdoors,Y,PG,,5100 N. Ridgeway Ave.,"(41.97380338, -87.72221154)"
Wed,07/10/2019,Kelvyn Park,(312) 742-7547,Bumble Bee,Y,PG-13,,4438 W. Wrightwood Ave.,"(41.92875053, -87.73827846)"
Thu,07/25/2019,Marquette Park,(312) 747-6469,Hotel Transylvania 3,Y,PG,,6743 S. Kedzie Ave.,"(41.77040513, -87.70279647)"
Sun,06/30/2019,Holstein Park,(312) 742-7554,The LEGO Movie 2,Y,PG,The Bucktown Community Organization,2200 N. Oakley Ave.,"(41.92206895, -87.68525593)"
Mon,08/26/2019,South Shore Cultural Center,(773) 256-0149,The Wiz,Y,G,,7059 S. South Shore Drive,"(41.76660302, -87.56632372)"
Fri,07/12/2019,Gill Park,(312) 742-7802,The Sandlot,Y,PG,,825 W. Sheridan Rd.,"(41.9526213, -87.65067083)"
Tue,08/06/2019,Ward (A. Montgomery) Park,(312) 742-7895,Green Book,Y,PG-13,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)"
Mon,06/24/2019,Cotton Tail Park,(312) 747-7640,The LEGO Movie 2,Y,PG,The Greater South Loop Association,44 W. 15th St.,"(41.86203657, -87.62911255)"
Sun,08/11/2019,Unity Playlot Park,(773) 478-1410,Mary Poppins Returns,Y,PG,The Unity Park Advisory Council,2636 N. Kimball Ave.,"(41.92949896, -87.71237758)"
Mon,08/05/2019,Calumet Park,(312) 747-6039,Hairspray,Y,PG,,9801 S. Ave G,"(41.71772004, -87.53150812)"
Fri,06/21/2019,Osterman Beach,(312) 742-1134,French Cancan,Y,NR,The Cultural Service at the Consulate General of France,5800 N. Lake Shore Dr.,"(-87.6528859, 41.9863754)"
Fri,06/28/2019,Owens Park,(312) 747-6709,Bumble Bee,Y,PG-13,,8800 S. Clyde,"(41.73517227, -87.57339543)"
Mon,08/19/2019,Osterman Beach,(312) 742-1134,Moulin Rouge,Y,PG-13,,5800 N. Lake Shore Dr.,"(-87.6528859, 41.9863754)"
Fri,08/16/2019,Portage Park,(773) 685-7235,A Dog's Way Home,Y,PG,,4100 N. Long Ave.,"(41.95510787, -87.76228458)"
Wed,06/19/2019,Chicago History Museum,(312) 742-1134,"To Wong Foo, Thanks for Everything, Julie Newmar",Y,PG-13,The Chicago History Museum,1601 N. Clark St.,"(41.91131036, -87.63156657)"
Sat,07/20/2019,DuSable Museum of African American History,(312) 742-1134,Spider-Man: Into the Spider-Verse,Y,PG,The DuSable Museum of African American History,740 E. 56th Pl.,"(41.79248002, -87.60685252)"
Sat,07/27/2019,Ellis (Samuel) Park,(312) 656-0423,Creed II,Y,PG-13,,535 E. 35th St.,"(41.8310921, -87.61291629)"
Thu,08/01/2019,Archer Park,(773) 284-7029,Bumble Bee,Y,PG-13,,4901 S.Kilbourn Ave.,"(41.80391551, -87.73556627)"
Thu,07/11/2019,Normandy Playground Park,(773) 229-1421,Mary Poppins Returns,Y,PG,,6660 W. 52nd St.,"(41.79785925, -87.78923279)"
Wed,08/21/2019,Chicago History Museum,(312) 742-1134,Singin' in the Rain,Y,G,The Chicago History Museum,1601 N. Clark St.,"(41.91131036, -87.63156657)"
Tue,07/16/2019,Ward (A. Montgomery) Park,(312) 742-7895,The 400 Blows,Y,NR,The Cultural Service at the Consulate General of France,630 N. Kingsbury St.,"(41.893015, -87.64125791)"
Tue,07/30/2019,Gage Park,(312) 747-6147,Mary Poppins Returns,Y,PG,,2411 W. 55th St.,"(41.79374925, -87.684513)"
Thu,06/27/2019,Vittum Park,(773) 284-6022,Ralph Breaks the Internet,Y,PG,,5010 W. 50th St.,"(41.80218518, -87.74838435)"
Sat,06/15/2019,Winnemac Park,(312) 742-5101,Aquaman,Y,PG-13,,5100 N. Leavitt St,"(41.97406708, -87.68437099)"
Fri,08/09/2019,Vittum Park,(773) 284-6022,The Incredibles 2,Y,PG,,5010 W. 50th St.,"(41.80218518, -87.74838435)"
Fri,08/23/2019,Fosco Park,(312) 746-5086,Creed II,Y,PG-13,,1312 S. Racine Ave,"(41.86485873, -87.65676659)"
Sat,07/06/2019,Walsh Playground Park,(312) 742-7769,Cleo from 5 to 7 / Cleo de 5 a 7,Y,NR,The Cultural Service at the Consulate General of France,1722 N. Ashland Ave.,"(41.91316569, -87.66790828)"
Tue,07/02/2019,Kells Playground Park,(312) 742-7544,Bumble Bee,Y,PG-13,,3201 W. Chicago Ave.,"(41.89544308, -87.7066155)"
Thu,08/15/2019,Maggie Daley Park,(312) 742-3918,Cloudy With a Chance of Meatballs,Y,PG,The Museum of Science and Industry,337 E. Randolph St.,"(41.88422161, -87.61933906)"
Mon,07/15/2019,Chippewa Park,(773) 731-0380,Ralph Breaks the Internet,Y,PG,Alderman Debra Silverstein,6748 N. Sacramento Ave.,"(42.00438076, -87.70475177)"
Mon,07/22/2019,Harold Washington Playlot Park,(312) 747-6620,Dreamgirls,Y,PG-13,,5200 S. Hyde Park Blvd.,"(41.80047033, -87.58450476)"
Fri,07/26/2019,Oakdale Park,(312) 747-6569,Black Panther,Y,PG-13,,965 W. 95th St.,"(41.72129198, -87.64801198)"
Fri,07/12/2019,Meyering Playground Park,(312) 747-6545,Night School,Y,PG-13,,7140 S. Martin Luther King Dr.,"(41.76448442, -87.61540433)"
Thu,07/18/2019,Commercial Club Playground,(312) 742-7558,The Incredibles 2,Y,PG,,1845 W. Rice St.,"(41.89676186, -87.67398364)"
